# GENERATED convenience view (thin projection) by gene_pathway_build.py: pathway_group is the IDF-derived primary AD bucket (specificity-weighted argmax over matched GO/Reactome/OpenTargets terms; ties broken by AD priority). The ontology annotations in gene_pathways_api.jsonl are the truth; this single-bucket column is a derived convenience. Do not hand-edit.
gene_symbol,pathway_group,notes
PJA2,microglia_immune,primary=microglia_immune IDF-derived (score=6.61); go:positive regulation of toll-like receptor 2 signaling pathway (idf=6.61); reactome:Antigen processing: Ubiquitination & Proteasome degradation (idf=4.17); open_targets:Antigen processing: Ubiquitination & Proteasome degradation (idf=4.17) (+3 more) | captured 25 GO / 1 Reactome / 1 OT
PLA2G6,microglia_immune,primary=microglia_immune IDF-derived (score=5.00); reactome:Role of phospholipids in phagocytosis (idf=5.00); open_targets:Role of phospholipids in phagocytosis (idf=5.00); go:Fc-gamma receptor signaling pathway involved in phagocytosis (idf=4.90) (+1 more) | captured 25 GO / 5 Reactome / 5 OT
PLCG2,microglia_immune,primary=microglia_immune IDF-derived (score=6.61); go:antigen receptor-mediated signaling pathway (idf=6.61); go:antifungal innate immune response (idf=6.61); go:positive regulation of dendritic cell cytokine production (idf=6.20) (+17 more) | captured 69 GO / 15 Reactome / 15 OT
PLEC,microglia_immune,primary=microglia_immune IDF-derived (score=6.20); go:leukocyte migration involved in immune response (idf=6.20) | captured 71 GO / 3 Reactome / 3 OT
PLK1,microglia_immune,primary=microglia_immune IDF-derived (score=6.61); reactome:Mitotic Telophase/Cytokinesis (idf=6.61); open_targets:Mitotic Telophase/Cytokinesis (idf=6.61); go:regulation of cytokinesis (idf=5.36) (+1 more) | captured 69 GO / 25 Reactome / 25 OT
PML,microglia_immune,primary=microglia_immune IDF-derived (score=6.20); go:negative regulation of interleukin-1 production (idf=6.20); reactome:Dengue virus activates/modulates innate and adaptive immune responses (idf=5.69); open_targets:Dengue virus activates/modulates innate and adaptive immune responses (idf=5.69) (+4 more) | captured 77 GO / 9 Reactome / 9 OT
PPT1,microglia_immune,primary=microglia_immune IDF-derived (score=6.61); go:negative regulation of toll-like receptor 9 signaling pathway (idf=6.61) | captured 39 GO / 1 Reactome / 1 OT
PSMA1,microglia_immune,"primary=microglia_immune IDF-derived (score=6.20); reactome:Antigen processing: Ub, ATP-independent proteasomal degradation (idf=6.20); open_targets:Antigen processing: Ub, ATP-independent proteasomal degradation (idf=6.20); reactome:Cross-presentation of soluble exogenous antigens (endosomes) (idf=5.69) (+9 more) | captured 41 GO / 69 Reactome / 68 OT"
PSMA3,microglia_immune,"primary=microglia_immune IDF-derived (score=6.20); reactome:Antigen processing: Ub, ATP-independent proteasomal degradation (idf=6.20); open_targets:Antigen processing: Ub, ATP-independent proteasomal degradation (idf=6.20); reactome:Cross-presentation of soluble exogenous antigens (endosomes) (idf=5.69) (+8 more) | captured 39 GO / 69 Reactome / 68 OT"
PTPN12,microglia_immune,primary=microglia_immune IDF-derived (score=5.69); reactome:Interleukin-37 signaling (idf=5.69); open_targets:Interleukin-37 signaling (idf=5.69); open_targets:Immune System (idf=1.65) | captured 18 GO / 6 Reactome / 6 OT
PVR,microglia_immune,primary=microglia_immune IDF-derived (score=4.21); reactome:Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell (idf=4.21); open_targets:Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell (idf=4.21); open_targets:Immune System (idf=1.65) | captured 23 GO / 2 Reactome / 2 OT
PVRL2,microglia_immune,primary=microglia_immune IDF-derived (score=6.20); go:positive regulation of immunoglobulin mediated immune response (idf=6.20); reactome:Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell (idf=4.21); open_targets:Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell (idf=4.21) (+1 more) | captured 31 GO / 3 Reactome / 3 OT
QPCT,microglia_immune,primary=microglia_immune IDF-derived (score=1.65); open_targets:Immune System (idf=1.65) | captured 10 GO / 1 Reactome / 1 OT
RELA,microglia_immune,primary=microglia_immune IDF-derived (score=6.20); reactome:SUMOylation of immune response proteins (idf=6.20); open_targets:SUMOylation of immune response proteins (idf=6.20); go:toll-like receptor TLR6:TLR2 signaling pathway (idf=5.92) (+27 more) | captured 100 GO / 29 Reactome / 28 OT
RFC3,microglia_immune,primary=microglia_immune IDF-derived (score=6.61); reactome:Somatic hypermutation of immunoglobulin genes by error-prone mismatch repair (MMR) (idf=6.61); reactome:Somatic hypermutation of immunoglobulin genes by error-prone base excision repair (BER) (idf=6.61) | captured 18 GO / 23 Reactome / 21 OT
RIPK1,microglia_immune,primary=microglia_immune IDF-derived (score=6.20); go:positive regulation of interleukin-6-mediated signaling pathway (idf=6.20); go:positive regulation of interleukin-8 production (idf=4.41); go:positive regulation of inflammatory response (idf=3.90) (+2 more) | captured 75 GO / 24 Reactome / 24 OT
S100A8,microglia_immune,primary=microglia_immune IDF-derived (score=6.20); go:leukocyte migration involved in inflammatory response (idf=6.20); go:Toll-like receptor 4 binding (idf=6.20); go:regulation of toll-like receptor signaling pathway (idf=5.69) (+4 more) | captured 37 GO / 9 Reactome / 8 OT
S100A9,microglia_immune,primary=microglia_immune IDF-derived (score=6.61); go:regulation of respiratory burst involved in inflammatory response (idf=6.61); go:leukocyte migration involved in inflammatory response (idf=6.20); go:Toll-like receptor 4 binding (idf=6.20) (+6 more) | captured 39 GO / 10 Reactome / 9 OT
SCIMP,microglia_immune,primary=microglia_immune IDF-derived (score=6.61); go:toll-like receptor 7 signaling pathway (idf=6.61); go:positive regulation of cytokine production involved in immune response (idf=6.20); go:positive regulation of dendritic cell cytokine production (idf=6.20) (+7 more) | captured 24 GO / 0 Reactome / 0 OT
SCN11A,microglia_immune,primary=microglia_immune IDF-derived (score=6.61); go:acute inflammatory response (idf=6.61); go:chronic inflammatory response (idf=5.51); go:inflammatory response (idf=3.31) | captured 60 GO / 2 Reactome / 2 OT
SERPINA3,microglia_immune,primary=microglia_immune IDF-derived (score=5.00); go:response to cytokine (idf=5.00); go:inflammatory response (idf=3.31); open_targets:Immune System (idf=1.65) | captured 15 GO / 2 Reactome / 2 OT
SERPINE1,microglia_immune,primary=microglia_immune IDF-derived (score=6.61); go:positive regulation of leukotriene production involved in inflammatory response (idf=6.61); go:positive regulation of interleukin-8 production (idf=4.41); go:positive regulation of inflammatory response (idf=3.90) | captured 40 GO / 7 Reactome / 9 OT
SHARPIN,microglia_immune,primary=microglia_immune IDF-derived (score=3.97); go:negative regulation of inflammatory response (idf=3.97) | captured 16 GO / 4 Reactome / 4 OT
SNRK,microglia_immune,primary=microglia_immune IDF-derived (score=6.20); go:myeloid cell differentiation (idf=6.20) | captured 8 GO / 0 Reactome / 0 OT
SOD1,microglia_immune,primary=microglia_immune IDF-derived (score=6.61); go:myeloid cell homeostasis (idf=6.61); reactome:Gene and protein expression by JAK-STAT signaling after Interleukin-12 stimulation (idf=4.90); open_targets:Gene and protein expression by JAK-STAT signaling after Interleukin-12 stimulation (idf=4.90) (+4 more) | captured 84 GO / 3 Reactome / 3 OT
SON,microglia_immune,primary=microglia_immune IDF-derived (score=5.00); go:mitotic cytokinesis (idf=5.00) | captured 12 GO / 0 Reactome / 0 OT
SPATA2,microglia_immune,primary=microglia_immune IDF-derived (score=4.31); go:regulation of inflammatory response (idf=4.31) | captured 13 GO / 3 Reactome / 3 OT
SPI1,microglia_immune,primary=microglia_immune IDF-derived (score=6.61); go:positive regulation of antifungal innate immune response (idf=6.61); go:regulation of myeloid progenitor cell differentiation (idf=6.61); go:positive regulation of myeloid dendritic cell chemotaxis (idf=6.61) (+3 more) | captured 63 GO / 2 Reactome / 2 OT
SPP1,microglia_immune,primary=microglia_immune IDF-derived (score=6.61); reactome:RUNX3 Regulates Immune Response and Cell Migration (idf=6.61); open_targets:RUNX3 Regulates Immune Response and Cell Migration (idf=6.61) | captured 31 GO / 7 Reactome / 7 OT
SPSB1,microglia_immune,primary=microglia_immune IDF-derived (score=4.17); reactome:Antigen processing: Ubiquitination & Proteasome degradation (idf=4.17); open_targets:Antigen processing: Ubiquitination & Proteasome degradation (idf=4.17); open_targets:Immune System (idf=1.65) | captured 8 GO / 2 Reactome / 2 OT
SRC,microglia_immune,primary=microglia_immune IDF-derived (score=6.61); go:regulation of toll-like receptor 3 signaling pathway (idf=6.61); go:negative regulation of inflammatory response to antigenic stimulus (idf=5.00); go:interleukin-6-mediated signaling pathway (idf=5.00) (+7 more) | captured 111 GO / 70 Reactome / 70 OT
ST18,microglia_immune,primary=microglia_immune IDF-derived (score=5.36); go:interleukin-1-mediated signaling pathway (idf=5.36); go:interleukin-6-mediated signaling pathway (idf=5.00) | captured 13 GO / 0 Reactome / 0 OT
STAT3,microglia_immune,primary=microglia_immune IDF-derived (score=6.61); go:interleukin-9-mediated signaling pathway (idf=6.61); go:CCR5 chemokine receptor binding (idf=6.61); reactome:Interleukin-9 signaling (idf=6.61) (+50 more) | captured 125 GO / 42 Reactome / 40 OT
STAT4,microglia_immune,primary=microglia_immune IDF-derived (score=6.20); go:interleukin-12-mediated signaling pathway (idf=6.20); go:response to interleukin-6 (idf=6.20); reactome:Interleukin-12 signaling (idf=6.20) (+14 more) | captured 26 GO / 7 Reactome / 7 OT
STK39,microglia_immune,primary=microglia_immune IDF-derived (score=6.20); go:chemokine (C-X-C motif) ligand 12 signaling pathway (idf=6.20); go:cellular response to chemokine (idf=6.20); go:inflammatory response (idf=3.31) | captured 53 GO / 0 Reactome / 0 OT
SYK,microglia_immune,primary=microglia_immune IDF-derived (score=6.61); go:neutrophil activation involved in immune response (idf=6.61); go:interleukin-15 receptor binding (idf=6.61); go:leukocyte activation involved in immune response (idf=6.20) (+26 more) | captured 88 GO / 21 Reactome / 21 OT
TBK1,microglia_immune,primary=microglia_immune IDF-derived (score=6.61); reactome:STAT6-mediated induction of chemokines (idf=6.61); open_targets:STAT6-mediated induction of chemokines (idf=6.61); go:activation of innate immune response (idf=5.92) (+13 more) | captured 46 GO / 19 Reactome / 19 OT
TGFB1,microglia_immune,primary=microglia_immune IDF-derived (score=6.61); go:adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains (idf=6.61); go:negative regulation of macrophage cytokine production (idf=6.61); go:positive regulation of microglia differentiation (idf=6.61) (+13 more) | captured 178 GO / 21 Reactome / 21 OT
TGFBR2,microglia_immune,primary=microglia_immune IDF-derived (score=6.61); go:positive regulation of tolerance induction to self antigen (idf=6.61); go:myeloid dendritic cell differentiation (idf=5.92) | captured 83 GO / 10 Reactome / 10 OT
THOP1,microglia_immune,primary=microglia_immune IDF-derived (score=4.17); reactome:Antigen processing: Ubiquitination & Proteasome degradation (idf=4.17); open_targets:Antigen processing: Ubiquitination & Proteasome degradation (idf=4.17); open_targets:Immune System (idf=1.65) | captured 8 GO / 1 Reactome / 1 OT
TLR2,microglia_immune,primary=microglia_immune IDF-derived (score=6.61); go:toll-like receptor 2 signaling pathway (idf=6.61); go:Toll-like receptor 1-Toll-like receptor 2 protein complex (idf=6.61); go:Toll-like receptor 2-Toll-like receptor 6 protein complex (idf=6.61) (+23 more) | captured 61 GO / 12 Reactome / 12 OT
TLR4,microglia_immune,primary=microglia_immune IDF-derived (score=6.61); go:negative regulation of interleukin-23 production (idf=6.61); go:TRIF-dependent toll-like receptor signaling pathway (idf=6.61); go:wound healing involved in inflammatory response (idf=6.20) (+24 more) | captured 83 GO / 18 Reactome / 18 OT
TNF,microglia_immune,primary=microglia_immune IDF-derived (score=6.61); go:chronic inflammatory response to antigenic stimulus (idf=6.61); go:regulation of production of molecular mediator of immune response (idf=6.61); go:positive regulation of interleukin-33 production (idf=6.61) (+28 more) | captured 185 GO / 11 Reactome / 10 OT
TNFRSF11B,microglia_immune,primary=microglia_immune IDF-derived (score=3.81); go:cytokine activity (idf=3.81); open_targets:Immune System (idf=1.65) | captured 9 GO / 1 Reactome / 1 OT
TNFSF10,microglia_immune,primary=microglia_immune IDF-derived (score=3.81); go:cytokine activity (idf=3.81); go:immune response (idf=3.26) | captured 24 GO / 6 Reactome / 6 OT
TNFSF14,microglia_immune,primary=microglia_immune IDF-derived (score=3.97); go:negative regulation of inflammatory response (idf=3.97); go:cytokine activity (idf=3.81); go:immune response (idf=3.26) (+1 more) | captured 27 GO / 3 Reactome / 3 OT
TREM,microglia_immune,primary=microglia_immune IDF-derived (score=6.61); go:positive regulation of toll-like receptor 7 signaling pathway (idf=6.61); reactome:Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell (idf=4.21); open_targets:Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell (idf=4.21) (+1 more) | captured 5 GO / 1 Reactome / 1 OT
TREM2,microglia_immune,"primary=microglia_immune IDF-derived (score=6.61); go:positive regulation of antigen processing and presentation of peptide antigen via MHC class II (idf=6.61); go:phagocytosis, recognition (idf=6.61); go:regulation of toll-like receptor 6 signaling pathway (idf=6.61) (+32 more) | captured 142 GO / 4 Reactome / 4 OT"
TREML2,microglia_immune,primary=microglia_immune IDF-derived (score=4.21); reactome:Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell (idf=4.21); open_targets:Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell (idf=4.21); open_targets:Immune System (idf=1.65) | captured 5 GO / 1 Reactome / 1 OT
TREX1,microglia_immune,primary=microglia_immune IDF-derived (score=5.51); go:negative regulation of innate immune response (idf=5.51); open_targets:Immune System (idf=1.65) | captured 38 GO / 2 Reactome / 2 OT
TRIB2,microglia_immune,primary=microglia_immune IDF-derived (score=5.92); go:negative regulation of interleukin-10 production (idf=5.92) | captured 15 GO / 0 Reactome / 0 OT
TRIM56,microglia_immune,primary=microglia_immune IDF-derived (score=5.92); reactome:Regulation of innate immune responses to cytosolic DNA (idf=5.92); open_targets:Regulation of innate immune responses to cytosolic DNA (idf=5.92); go:positive regulation of innate immune response (idf=5.69) (+2 more) | captured 19 GO / 1 Reactome / 1 OT
TRIM72,microglia_immune,primary=microglia_immune IDF-derived (score=4.08); go:innate immune response (idf=4.08) | captured 17 GO / 1 Reactome / 1 OT
UBE2L3,microglia_immune,primary=microglia_immune IDF-derived (score=4.17); reactome:Antigen processing: Ubiquitination & Proteasome degradation (idf=4.17); open_targets:Antigen processing: Ubiquitination & Proteasome degradation (idf=4.17); open_targets:Immune System (idf=1.65) | captured 28 GO / 6 Reactome / 6 OT
